,property_id,county,state,prop_type,2020_avg,2019_avg,2020_01_avg,2020_02_avg,2020_03_avg,2020_04_avg,2020_05_avg,2020_06_avg,2020_07_avg,2020_08_avg,2020_09_avg,2020_10_avg,2020_11_avg,2020_12_avg
31,O1725178922,Los Angeles,California,single_family,1126.55,432.62,1126.55,1126.55,1126.55,1126.55,1126.55,1126.55,1126.55,1126.55,1126.55,1147.74,1143.76,1143.76
32,O1733968610,Los Angeles,California,multi_family,504.86,88.18,504.86,504.86,504.86,504.86,504.86,504.86,504.86,504.86,504.86,495.15,495.15,495.15
33,O1835407209,Los Angeles,California,condo,337.38,199.96,337.38,337.38,337.38,337.38,337.38,337.38,337.38,337.38,337.38,337.38,341.17,341.17
34,O1887775395,Los Angeles,California,multi_family,302.20,302.20,302.20,302.20,302.20,302.20,302.20,302.20,302.20,302.20,303.17,303.17,303.17,303.17
35,O1891748239,Los Angeles,California,single_family,332.95,148.21,332.95,332.95,332.95,332.95,332.95,332.95,332.95,332.95,332.95,332.95,332.95,346.84
36,O1903950159,Los Angeles,California,condo,959.66,724.08,959.66,959.66,959.66,959.66,959.66,959.66,959.66,959.66,947.00,930.31,930.31,930.31
37,O1941250006,Los Angeles,California,single_family,686.76,329.88,686.76,686.76,686.76,686.76,686.76,686.76,686.76,686.76,671.48,657.57,640.45,640.45
38,O1964960837,Los Angeles,California,multi_family,595.31,290.74,595.31,595.31,595.31,595.31,595.31,595.31,595.31,595.31,595.31,574.80,551.64,551.64
39,O1968312081,Los Angeles,California,condo,352.71,352.71,352.71,352.71,352.71,352.71,352.71,352.71,352.71,352.71,352.71,345.24,341.04,341.04
40,O1983985818,Los Angeles,California,condo,799.23,705.17,799.23,799.23,799.23,799.23,799.23,773.01,773.01,747.53,747.53,726.07,726.07,726.07
41,O2017028114,Los Angeles,California,multi_family,300.32,470.95,300.32,300.32,300.47,300.47,301.23,305.76,305.76,286.27,286.27,286.27,286.27,286.27
42,O2079628600,Los Angeles,California,single_family,502.39,19.14,502.39,502.39,502.39,502.39,502.39,502.39,502.39,502.39,502.39,502.39,502.39,502.39
43,O2082434918,Los Angeles,California,single_family,789.13,323.53,789.13,789.13,789.13,789.13,789.13,789.13,789.13,789.13,789.13,789.13,805.33,805.33
44,O2130660196,Los Angeles,California,condo,289.52,74.33,289.52,289.52,289.52,289.52,289.52,289.52,289.52,289.52,289.52,289.52,306.24,306.24
45,O2174206963,Los Angeles,California,condo,459.24,354.89,459.24,459.24,459.24,459.24,459.24,459.24,459.24,459.24,459.24,456.52,456.52,456.52
46,O2195316607,Los Angeles,California,condo,360.72,195.45,360.72,360.72,353.47,353.47,353.47,353.47,353.47,353.47,353.47,353.47,353.47,353.47
47,O2232006410,Los Angeles,California,single_family,447.49,316.94,447.49,447.49,447.49,447.49,447.49,447.49,447.49,447.49,447.49,440.09,440.09,440.09
48,O2247767549,Los Angeles,California,multi_family,349.51,349.51,349.51,349.51,349.51,348.64,344.69,330.20,324.84,320.55,320.55,320.55,320.55,320.55
49,O2263450120,Los Angeles,California,multi_family,311.81,78.05,311.81,311.81,311.81,311.81,311.81,311.81,311.81,296.12,296.12,283.41,283.41,283.41
50,O2295357992,Los Angeles,California,condo,439.99,233.28,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,431.99,426.42,426.42,426.42
51,O2298600129,Los Angeles,California,condo,473.79,236.39,473.79,473.79,473.79,473.79,473.79,473.79,473.79,473.79,473.79,473.79,473.79,473.79
52,O2308368178,Los Angeles,California,multi_family,314.53,83.45,314.53,314.53,314.53,314.53,314.53,314.53,313.26,313.26,311.47,308.80,295.42,268.65
53,O2320440662,Los Angeles,California,condo,345.40,154.15,345.40,345.40,345.40,345.40,345.40,345.40,345.40,345.40,345.40,345.40,345.40,352.11
54,O2359663785,Los Angeles,California,single_family,602.35,10.16,602.35,602.35,602.35,602.35,602.35,528.45,528.45,528.45,513.85,520.83,520.83,520.83
55,O2373047333,Los Angeles,California,condo,607.84,241.47,607.84,607.84,607.84,607.84,607.84,607.84,607.84,585.09,585.09,569.36,558.46,558.46
56,O2385973540,Los Angeles,California,multi_family,1273.86,1273.86,1273.86,1273.86,1273.86,1273.86,1273.86,1273.86,1234.40,1234.40,1219.59,1207.11,1169.68,1169.68
57,O2395640644,Los Angeles,California,single_family,560.40,560.40,560.40,560.40,560.40,560.40,560.40,560.40,560.40,560.40,560.40,560.40,560.40,590.04
58,O2445652057,Los Angeles,California,condo,435.97,62.92,435.97,435.97,435.97,435.97,435.97,435.97,435.97,435.97,435.97,435.97,435.97,435.97
59,O2449246280,Los Angeles,California,condo,676.33,676.33,676.33,676.33,676.33,676.33,676.33,676.33,676.33,676.33,676.33,676.33,688.80,688.80
60,O2449699004,Los Angeles,California,single_family,702.62,371.57,702.62,702.62,702.62,702.62,702.62,702.62,702.62,702.62,702.62,702.62,733.17,733.17
61,O2460248415,Los Angeles,California,single_family,630.83,630.83,630.83,630.83,630.83,630.83,630.83,630.83,630.83,630.83,630.83,630.83,623.31,623.31
62,O2462555754,Los Angeles,California,single_family,665.35,258.22,665.35,665.35,665.35,665.35,665.35,665.35,665.35,665.35,665.35,665.35,665.35,700.10
63,O2482612352,Los Angeles,California,multi_family,379.32,170.51,379.32,379.32,379.32,379.32,379.32,413.24,413.24,413.24,413.24,413.24,408.90,406.03
64,O2521622273,Los Angeles,California,single_family,474.84,474.84,474.84,474.84,474.84,474.84,474.84,474.84,474.84,474.84,479.16,476.64,476.64,476.64
65,O2560352257,Los Angeles,California,single_family,733.88,101.66,733.88,733.88,733.88,733.88,733.88,733.88,733.88,733.88,733.88,700.28,690.61,690.61
66,O2604567334,Los Angeles,California,multi_family,324.93,190.50,324.93,324.93,324.93,324.93,324.93,324.93,324.93,325.90,321.51,321.51,308.32,308.32
67,O2641784884,Los Angeles,California,condo,328.66,152.64,328.66,328.66,328.66,328.66,328.66,328.66,328.66,328.66,328.66,332.78,346.53,346.53
68,O2659107004,Los Angeles,California,single_family,692.67,90.65,692.67,692.67,692.67,692.67,692.67,692.67,692.67,692.67,692.67,692.67,692.67,692.67
69,O2659554929,Los Angeles,California,condo,542.62,532.79,542.62,542.62,542.62,542.62,542.62,542.62,542.62,542.62,542.62,532.79,532.79,532.79
70,O2661182067,Los Angeles,California,condo,557.19,347.44,557.19,557.19,557.19,557.19,557.19,557.19,557.19,547.72,529.68,523.98,506.85,506.85
71,O2682055304,Los Angeles,California,multi_family,454.27,355.42,454.27,454.27,454.27,454.27,454.27,454.27,454.27,454.27,436.42,436.42,427.62,427.62
72,O2703708040,Los Angeles,California,condo,610.58,430.93,610.58,610.58,610.58,610.58,610.58,610.58,610.58,610.58,600.97,600.97,591.78,589.27
73,O2707280496,Los Angeles,California,single_family,749.41,511.67,749.41,749.41,749.41,749.41,749.41,749.41,749.41,749.41,749.41,749.41,757.51,781.80
74,O2716638099,Los Angeles,California,condo,427.59,252.43,427.59,427.59,427.59,427.59,427.59,427.59,427.59,427.59,427.59,427.59,427.59,435.04
75,O2737683207,Los Angeles,California,single_family,1382.48,915.60,1382.48,1382.48,1382.48,1382.48,1382.48,1382.48,1382.48,1382.48,1382.48,1357.38,1297.19,1297.19
76,O2738107654,Los Angeles,California,multi_family,232.10,193.42,232.10,232.10,232.10,232.10,232.10,232.10,232.10,232.10,232.10,232.10,232.10,232.10
77,O2740260855,Los Angeles,California,multi_family,859.16,92.15,859.16,859.16,859.16,859.16,859.16,859.16,859.16,859.16,859.16,859.16,788.57,788.57
78,O2740442813,Los Angeles,California,condo,464.17,295.56,464.17,464.17,464.17,464.17,464.17,464.17,464.17,464.17,464.17,464.17,472.59,472.59
79,O2826350257,Los Angeles,California,condo,565.39,210.62,565.39,565.39,570.39,570.39,570.39,577.89,590.39,590.39,656.27,656.27,636.20,636.20
80,O2858357330,Los Angeles,California,condo,433.55,303.07,433.55,433.55,433.55,433.55,433.55,433.55,433.55,433.55,427.95,420.84,415.91,415.91
81,O2901328110,Los Angeles,California,condo,465.92,344.37,465.92,465.92,465.92,465.92,465.92,465.92,465.92,465.92,465.92,465.92,449.15,450.54
82,O2923438706,Los Angeles,California,multi_family,205.98,54.57,205.98,205.98,205.98,205.98,205.98,205.98,205.98,205.98,205.98,205.98,205.74,205.74
